абонировать  заабонировать
благодарить  поблагодарить
благословлять  благословить
благоустраивать  благоустроить
благоустраиваться  благоустроиться
бледнеть  побледнеть
блекнуть  поблекнуть
блестеть  блеснуть
блестеть  заблестеть
близиться  приблизиться
блокировать  заблокировать
блюсти  соблюсти
богатеть  разбогатеть
боготворить  обоготворить
бодать  боднуть
бодать  забодать
бодрить  ободрить
бодриться  подбодриться
бойкотировать  забойкотировать
болеть1  заболеть1
болеть1  заболеть2
болеть2  заболеть1
болеть2  заболеть2
болеть2  поболеть
бомбардировать  отбомбардировать
бомбить  разбомбить
борзеть  оборзеть
бормотать  пробормотать
бороздить  избороздить
боронить  переборонить
бороться  побороться
бояться  побояться
браковать  забраковать
бранить  выбранить
браниться  выбраниться
брать  взять
брать в заложники  взять в заложники
брать за аксиому  взять за аксиому
брать кредит  взять кредит
браться  взяться
брезгать  побрезгать
брезговать  побрезговать
брезжить  забрезжить
брести  добрести
брикетировать  забрикетировать
брить  побрить
бриться  побриться
бронировать1  забронировать
бросать вызов  бросить вызов
бросать1  бросить1
бросать2  бросить2
бросать2  забросать
бросаться  броситься
брошюровать  сброшюровать
брызгать  брызнуть
брюзжать  забрюзжать
брюхатить  обрюхатить
брякать  брякнуть
брякаться  брякнуться
бряцать  забряцать
будить  разбудить
будоражить  взбудоражить
будоражиться  взбудоражиться
бузить  набузить
буксировать  отбуксировать
буксовать  забуксовать
бултыхаться  бултыхнуться
бултыхаться  пробултыхаться
бункеровать  забункеровать
бунтовать  взбунтовать
бурить  пробурить
бурлить  забурлить
бурчать  буркнуть
бурчать  пробурчать
бутузить  отбутузить
бушевать  забушевать
буянить  набуянить
бывать  побывать
бюрократизировать  забюрократизировать
валить вину  свалить вину
валить1  повалить
валить1  свалить1
валить2  свалить2
валить3  свалить3
валить4  свалить4
валиться  повалиться
вальсировать  отвальсировать
валять  свалять
валяться  изваляться
варганить  сварганить
варить  отварить
варить  сварить1
вариться  свариться
варьировать  проварьировать
ваять  изваять
вбегать  вбежать
вбивать  вбить
вбирать  вобрать
вбрасывать  вбросить
вбрасываться  вброситься
вбухивать  вбухать
вбухивать  вбухнуть
вваливать  ввалить
вваливаться  ввалиться
ввергать  ввергнуть
ввергаться  ввергнуться
ввертывать  ввернуть
вверять  вверить
ввинчивать  ввинтить
ввинчиваться  ввинтиться
вводить1  ввести1
вводить1  ввести2
вводить2  ввести1
вводить2  ввести2
ввозить  ввезти
вворачивать  ввернуть
ввязывать  ввязать
ввязываться  ввязаться
вгибать  вогнуть
вглядываться  вглядеться
вгонять  вогнать
вдавливать  вдавить
вдавливаться  вдавиться
вдалбливать  вдолбить
вдевать  вдеть
вделывать  вделать
вдергивать  вдернуть
вдоветь  овдоветь
вдолдонивать  вдолдонить
вдохновлять  вдохновить
вдохновляться  вдохновиться
вдуваться  вдуться
вдумываться  вдуматься
вдыхать  вдохнуть
везти1  повезти
везти2  привезти
велеть  повелеть
вентилировать  провентилировать
вентилироваться  провентилироваться
венчать  обвенчать
венчать  увенчать
венчаться  обвенчаться
вербовать  завербовать
вербоваться  завербоваться
верещать  заверещать
верить  поверить
верифицировать  проверифицировать
веровать  уверовать
верстать  сверстать
верстаться  сверстаться
вертеть  завертеть
вертеться  завертеться
веселеть  повеселеть
веселить  развеселить
веселиться  повеселиться
веселиться  развеселиться
вести кампанию  провести кампанию
вести себя  повести себя
вести1  провести1
вести2  повести
ветшать  обветшать
вешать1  повесить
вешать2  взвесить
вешать2  свешать
вешать3  повесить
вживаться  вжиться
вживлять  вживить
вживляться  вживиться
вжигать  вжечь
взбадривать  взбодрить
взбадриваться  взбодриться
взбалтывать  взболтать
взбалтываться  взболтаться
взбегать  взбежать
взбивать  взбить
взбираться  взобраться
взбредать  взбрести
взбрызгивать  взбрызнуть
взбрызгиваться  взбрызнуться
взбрыкивать  взбрыкнуть
взбудораживать  взбудоражить
взбудораживаться  взбудоражиться
взбухать  взбухнуть
взбучивать  взбучить
взваливать  взвалить
взвешивать  взвесить
взвешиваться  взвеситься
взвивать  взвить
взвиваться  взвиться
взвинчивать  взвинтить
взвинчиваться  взвинтиться
взводить  взвести
взглядывать  взглянуть
вздевать  вздеть
вздергивать  вздернуть
вздорить  повздорить
вздрагивать  вздрогнуть
вздувать  вздуть
вздуваться  вздуться
вздыбливать  вздыбить
вздыбливаться  вздыблиться
вздыхать  вздохнуть
взимать  взять
взламывать  взломать
взламываться  взломаться
взлелеивать  взлелеять
взлетать  взлететь
взлохмачивать  взлохматить
взлохмачиваться  взлохматиться
взмахивать  взмахнуть
взмокать  взмокнуть
взмывать  взмыть
взмыливать  взмылить
взмыливаться  взмылиться
взрывать1  взрыть
взрывать2  взорвать
взрываться  взорваться
взрыхлять  взрыхлить
взрыхляться  взрыхлиться
взъерепениваться  взъерепениться
взъерошивать  взъерошить
взъерошиваться  взъерошиться
взыскивать  взыскать
взыскиваться  взыскаться
вибрировать  завибрировать
видать  повидать
видеть  увидеть
видеться2  свидеться
видеться2  увидеться
видоизменять  видоизменить
видоизменяться  видоизмениться
визжать  завизжать
визировать  завизировать
визироваться  завизироваться
вилять  вильнуть
вилять  завилять
винить  обвинить
висеть  повиснуть
виснуть  повиснуть
витаминизировать  навитаминизировать
витаминизировать  провитаминизировать
витаминизироваться  провитаминизироваться
вить  свить
виться  свиться
вкапывать  вкопать
вкапываться  вкопаться
вкатывать  вкатать
вкатывать  вкатить
вкатываться  вкатиться
вкачивать  вкачать
вкидывать  вкинуть
вкладывать1  вложить1
вкладывать2  вложить2
вклеивать  вклеить
вклеиваться  вклеиться
вклиниваться  вклиниться
включать1  включить1
включать2  включить2
включаться  включиться1
включаться  включиться2
вколачивать  вколотить
вкручивать  вкрутить
вкручиваться  вкрутиться
вкушать  вкусить
владеть  завладеть
владеть  овладеть
вламывать  вломить
вламываться  вломиться
влезать  влезть
влеплять  влепить
влетать  влететь
влечь  повлечь
вливать  влить
вливаться  влиться
влипать  влипнуть
влиять  повлиять
влюблять  влюбить
влюбляться  влюбиться
вляпывать  вляпать
вляпываться  вляпаться
вмазывать  вмазать
вмазываться  вмазаться
вменять  вменить
вмерзать  вмерзнуть
вмешивать  вмешать
вмешиваться  вмешаться
вмещать  вместить
вмещаться  вместиться
вминать  вмять
вминаться  вмяться
внедрять  внедрить
внедряться  внедриться
вникать  вникнуть
внимать  внять
вносить  внести
вносить вклад  внести вклад
вноситься  внестись
внушать  внушить
внушаться  внушиться
вовлекать  вовлечь
вовлекаться  вовлечься
водворять  водворить
водворяться  водвориться
водить1  повести
водить2  повести
водружать  водрузить
воевать  повоевать
возбуждать иск  возбудить иск
возбуждать1  возбудить1
возбуждать2  возбудить2
возбуждаться1  возбудиться
возвещать  возвестить
возвещаться  возвеститься
возводить  возвести
возвращать  вернуть
возвращать  возвратить
возвращаться  вернуться
возвращаться  возвратиться
возвышать  возвысить
возвышаться  возвыситься
возглавлять  возглавить
возгорать  возгореть
возгораться  возгореться
воздавать  воздать
воздаваться  воздаться
воздвигать  воздвигнуть
воздевать  воздеть
возделывать  возделать
воздерживать  воздержать
воздерживаться  воздержаться
возить  привезти
возлагать  возложить
возмещать  возместить
возмещаться  возместиться
возмущать  возмутить
возмущаться  возмутиться
вознаграждать  вознаградить
возникать1  возникнуть
возносить  вознести
возноситься  вознестись
возобновлять  возобновить
возобновляться  возобновиться
возражать  возразить
возрастать  возрасти
возрождать  возродить
возрождаться  возродиться
волновать  взволновать
волноваться  взволноваться
волноваться  заволноваться
волочить  поволочить
волочиться  поволочиться
волочь  поволочь
волочь  уволочь
вонзать  вонзить
вонзаться  вонзиться
вонять  навонять
воображать  вообразить
воодушевлять  воодушевить
воодушевляться  воодушевиться
вооружать  вооружить
вооружаться  вооружиться
вопить  завопить
воплощать  воплотить
воплощаться  воплотиться
вопрошать  вопросить
воровать  своровать
ворожить  заворожить
ворочать  поворочать
ворочаться  поворочаться
ворошить  разворошить
ворчать  проворчать
восклицать  воскликнуть
воскресать  воскреснуть
воскрешать  воскресить
воспалять  воспалить
воспаляться  воспалиться
воспарять  воспарить
воспевать  воспеть
воспитаться  перевоспитаться
воспитывать  воспитать
воспитываться  воспитаться
воспитываться  перевоспитываться
воспламенять  воспламенить
воспламеняться  воспламениться
восполнять  восполнить
воспрещать  воспретить
воспринимать  воспринять
воспроизводить  воспроизвести
воспроизводиться  воспроизвестись
воссоединять  воссоединить
воссоединяться  воссоединиться
воссоздавать  воссоздать
воссоздаваться  воссоздаться
восставать  восстать
восставлять  восставить
восстанавливать  восстановить
восстанавливаться  восстановиться
восхищать  восхитить
восхищаться  восхититься
восходить  взойти
воцерковляться  воцерковиться
вощить  навощить
вощиться  навощиться
впадать  впасть
впадать в ересь  впасть в ересь
впаивать  впаять
впаиваться  впаяться
впаривать  впарить
впекать  впечь
впекаться  впечься
вперивать  вперить
впериваться  впериться
вперять  вперить
вперяться  впериться
впечатлять  впечатлить
впечатывать  впечатать
впиваться  впиться
вписывать  вписать
вписываться  вписаться
впитывать  впитать
впитываться  впитаться
впихивать  впихать
впихивать  впихнуть
впихиваться  впихаться
впихиваться  впихнуться
вплавлять  вплавить
вплетать  вплести
вплетаться  вплестись
вплывать  вплыть
вползать  вползти
вправлять  вправить
впрыгивать  впрыгнуть
впрыскивать  впрыснуть
впрыскиваться  впрыснуться
впрягать  впрячь
впрягаться  впрячься
впускать  впустить
впутывать  впутать
впутываться  впутаться
враждовать  завраждовать
вразумлять  вразумить
вразумляться  вразумиться
врастать  врасти
врать  наврать
врать  соврать
вращать  завращать
вращаться  завращаться
вредить  навредить
врезать2  врезать1
врубаться  врубиться
вручать  вручить
врывать  врыть
всаживать  всадить
всасывать  всосать
всасываться  всосаться
вселять  вселить
вселяться  вселиться
вскакивать  вскочить
вскапывать  вскопать
вскармливать  вскормить
вскидывать  вскинуть
вскидываться  вскинуться
вскипать  вскипеть
всклокочивать  всклокочить
всклокочиваться  всклокочиться
вскрикивать  вскрикнуть
вскрывать  вскрыть1
вскрывать  вскрыть2
вскрываться  вскрыться
вслушиваться  вслушаться
всматриваться  всмотреться
всовывать  сунуть
вспархивать  вспорхнуть
вспарывать  вспороть
вспахивать  вспахать
вспенивать  вспенить
вспениваться  вспениться
всплескивать  всплеснуть
всплывать  всплыть
вспоминать  вспомнить
вспоминаться  вспомниться
вспухать  вспухнуть
вспучивать  вспучить
вспучиваться  вспучиться
вспыхивать  вспыхнуть
вставать  встать1
вставлять  вставить
встраивать  встроить
встраиваться  встроиться
встревоживать  встревожить
встревоживаться  встревожиться
встрепывать  встрепать
встречать  встретить
встречать  повстречать
встречаться  встретиться
встряхивать  встряхнуть
встряхиваться  встряхнуться
вступать в сговор  вступить в сговор
вступать1  вступить1
вступать2  вступить2
вступаться  вступиться
всучивать  всучить
всходить  взойти
всхрапывать  всхрапнуть
всыпать2  всыпать1
вталкивать  втолкнуть
вталкиваться  втолкнуться
втаптывать  втоптать
втаскивать  втащить
втаскиваться  втащиться
втемяшивать  втемяшить
втемяшиваться  втемяшиться
втирать  втереть
втираться  втереться
втискивать  втиснуть
втискиваться  втиснуться
втолковывать  втолковать
втолковываться  втолковаться
вторгаться  вторгнуться
втравливать  втравить
втравливаться  втравиться
втыкать  воткнуть
втыкаться  воткнуться
втюривать  втюрить
втюриваться  втюриться
втягивать  втянуть
втягиваться  втянуться
вуалировать  завуалировать
вуалироваться  завуалироваться
входить1  войти1
входить2  войти2
вцеживать  вцедить
вцеплять  вцепить
вцепляться  вцепиться
вчинять  вчинить
вчинять иск  вчинить иск
вчитываться  вчитаться
вшивать  вшить
вшиваться  вшиться
вшиветь  овшиветь
въедаться  въесться
въезжать  въехать
выбалтывать  выболтать
выбегать  выбежать
выбеливать  выбелить
выбеливаться  выбелиться
выбивать  выбить
выбиваться  выбиться
выбирать  выбрать1
выбираться1  выбраться1
выбираться2  выбраться2
выбрасывать  выбросить
выбывать  выбыть
вываливать  вывалить
вываливаться  вывалиться
вываривать  выварить
вывариваться  вывариться
выведывать  выведать
вывертывать  вывернуть
вывертываться  вывернуться
выверять  выверить
выверяться  вывериться
выветривать  выветрить
выветриваться  выветриться
вывешивать  вывесить
вывинчивать  вывинтить
вывинчиваться  вывинтиться
вывихивать  вывихнуть
вывихиваться  вывихнуться
выводить1  вывести1
выводить2  вывести2
выводить2  вывести3
выводить3  вывести2
выводить3  вывести3
выводить4  вывести4
выводить5  вывести5
выводиться  вывестись
вывозить  вывезти
выволакивать  выволочь
выворачивать  вывернуть
выворачивать  выворотить
выворачиваться  вывернуться
вывязывать  вывязать
выгадывать  выгадать
выгибать  выгнуть
выгибаться  выгнуться
выглаживать  выгладить
выглаживаться  выгладиться
выглядеть  выглянуть
выглядывать  выглядеть
выглядывать  выглянуть
выговаривать  выговорить
выговариваться  выговориться
выгонять  выгнать
выгораживать  выгородить
выгораживаться  выгородиться
выгорать1  выгореть1
выгорать2  выгореть2
выгорать3  выгореть3
выгребать  выгрести
выгружать  выгрузить
выгружаться  выгрузиться
выгрызать  выгрызть
выгуливать  выгулять
выгуливаться  выгуляться
выдавать1  выдать1
выдавать2  выдать2
выдавливать  выдавить
выдавливаться  выдавиться
выдаивать  выдоить
выдаиваться  выдоиться
выдалбливать  выдолбить
выдалбливаться  выдолбиться
выдвигать  выдвинуть
выдвигаться  выдвинуться
выдворять  выдворить
выделывать  выделать
выделять1  выделить1
выделять2  выделить2
выделяться  выделиться
выдергивать  выдернуть
выдергиваться  выдернуться
выдерживать  выдержать
выдирать  выдрать
выдираться  выдраться
выдраивать  выдраить
выдувать  выдуть
выдумывать  выдумать
выдыхать  выдохнуть
выдыхаться  выдохнуться
выедать  выесть
выезжать  выехать
выживать2  выжить2
выжигать  выжечь
выжидать  выждать
выжимать1  выжать1
выжимать2  выжать2
выжимать3  выжать3
выжирать  выжрать
вызволять  вызволить
вызволяться  вызволиться
выздоравливать  выздороветь
вызревать  вызреть
вызывать1  вызвать1
вызывать2  вызвать2
вызываться  вызваться
выигрывать  выиграть
выискивать  выискать
выискиваться  выискаться
выказывать  выказать
выказываться  выказаться
выкаливать  выкалить
выкаливаться  выкалиться
выкалывать  выколоть
выкапывать  выкопать
выкарабкиваться  выкарабкаться
выкармливать  выкормить
выкармливаться  выкормиться
выкатывать  выкатить
выкатываться  выкатиться
выкачивать  выкачать
выкачиваться  выкачаться
выкашивать  выкосить
выкидывать  выкинуть
выкидываться  выкинуться
выкипать  выкипеть
выкладывать  выложить
выкладываться  выложиться
выклевывать  выклевать
выключать  выключить
выключаться  выключиться
выклянчивать  выклянчить
выковывать  выковать
выковыривать  выковырить
выковыривать  выковырять
выковыриваться  выковыряться
выколачивать  выколотить
выкорчевывать  выкорчевать
выкорчевываться  выкорчеваться
выкрадывать  выкрасть
выкраивать  выкроить
выкраиваться  выкроиться
выкрикивать  выкрикнуть
выкручивать  выкрутить
выкручиваться  выкрутиться
выкупать1  выкупить
выкуривать  выкурить
выкусывать  выкусить
вылавливать  выловить
выламывать  выломать
выламываться  выломаться
выламываться  выломиться
вылащивать  вылощить
вылащиваться  вылощиться
вылеживать  вылежать
вылеживаться  вылежаться
вылезать  вылезти
вылеплять  вылепить
вылетать  вылететь
вылечивать  вылечить
вылечиваться  вылечиться
выливать  вылить1
выливаться  вылиться
вылизывать  вылизать
вылуплять  вылупить
вылупляться  вылупиться
вымазывать  вымазать
вымазываться  вымазаться
вымаливать  вымолить
выманивать  выманить
выманиваться  выманиться
вымарывать  вымарать
выматывать  вымотать
выматываться  вымотаться
вымахивать  вымахать
вымачивать  вымочить
вымачиваться  вымочиться
выменивать  выменять
вымерзать  вымерзнуть
вымерять  вымерить
вымеряться  вымериться
вымешивать  вымесить
вымешивать  вымешать
вымешиваться  вымешаться
вымещать  выместить
вымещаться  выместиться
вымирать  вымереть
вымокать  вымокнуть
вымораживать  выморозить
вымораживаться  выморозиться
вымучивать  вымучить
вымучиваться  вымучиться
вымывать  вымыть
вымываться  вымыться
вымыливать  вымылить
вымышлять  вымыслить
вынашивать  выносить
вынашиваться  выноситься
вынимать  вынуть
выносить  вынести1
выносить  вынести2
вынуждать  вынудить
вынуждаться  вынудиться
выныривать  вынырнуть
выпадать  выпасть1
выпаивать  выпаять
выпаиваться  выпаяться
выпаливать  выпалить
выпалывать  выполоть
выпаривать  выпарить
выпариваться  выпариться
выпекать  выпечь
выпекаться  выпечься
выпендриваться  выпендриться
выпестовывать  выпестовать
выпестовываться  выпестоваться
выпивать  выпить
выпиливать  выпилить
выписывать  выписать
выписываться  выписаться
выпихивать  выпихать
выпихивать  выпихнуть
выплавлять  выплавить
выплавляться  выплавиться
выплачивать  выплатить
выплескивать  выплеснуть
выплескиваться  выплеснуться
выплетать  выплести
выплывать  выплыть
выползать  выползти
выполнять  выполнить
выполняться  выполниться
выправлять  выправить
выправляться  выправиться
выпрашивать  выпросить
выпрашиваться  выпроситься
выпроваживать  выпроводить
выпроваживаться  выпроводиться
выпрыгивать  выпрыгнуть
выпрягать  выпрячь
выпрягаться  выпрячься
выпрямлять  выпрямить
выпрямляться  выпрямиться
выпускать1  выпустить1
выпускать2  выпустить2
выпускать3  выпустить3
выпускать4  выпустить4
выпускаться  выпуститься
выпутывать  выпутать
выпутываться  выпутаться
выпучивать  выпучить
выпучиваться  выпучиться
выпытывать  выпытать
выпячивать  выпятить
выпячиваться  выпятиться
вырабатывать  выработать
вырабатываться  выработаться
выравнивать  выровнять
выравниваться  выровняться
выражать  выразить
выражаться  выразиться
вырастать  вырасти
выращивать  вырастить
вырезать2  вырезать1
вырисовываться  вырисоваться
вырубать  вырубить1
вырубаться  вырубиться
выруливать  вырулить
выручать  выручить
выручаться  выручиться
вырывать1  вырвать1
вырываться  вырваться
высаживать1  высадить1
высаживать2  высадить2
высаживаться  высадиться
высасывать  высосать
высверливать  высверлить
высверливаться  высверлиться
высветлять  высветлить
высветляться  высветлиться
высвобождать  высвободить
высвобождаться  высвободиться
высекать  высечь1
выселять  выселить
выселяться  выселиться
высиживать  высидеть
выскабливать  выскоблить
выскабливаться  выскоблиться
высказывать  высказать
высказываться  высказаться
выскакивать  выскочить
выслеживать  выследить
выслуживать  выслужить
выслуживаться  выслужиться
выслушивать  выслушать
высматривать  высмотреть
высмеивать  высмеять
выспрашивать  выспросить
выставлять  выставить
выставлять себя  выставить себя
выставляться  выставиться
выстаивать  выстоять
выстилать  выстелить
выстилать  выстлать
выстилаться  выстелиться
выстирывать  выстирать
выстирываться  выстираться
выстраиваться  выстроиться
выстригать  выстричь
выстругивать  выстругать
выстужать  выстудить
выстуживать  выстудить
выстуживаться  выстудиться
выступать1  выступить1
выступать2  выступить2
высуживать  высудить
высушивать  высушить
высушиваться  высушиться
высылать1  выслать1
высылать2  выслать2
высыпать2  высыпать1
высыпаться2  высыпаться1
высыхать  высохнуть
выталкивать  вытолкать
выталкивать  вытолкнуть
вытаптывать  вытоптать
вытаскивать  вытащить
вытачивать  выточить
вытворять  вытворить
вытекать  вытечь
вытеснять  вытеснить
вытесывать  вытесать
вытирать  вытереть
вытираться  вытереться
выторговывать  выторговать
вытрясать  вытрясти
вытрясаться  вытрястись
вытряхать  вытряхнуть
вытряхивать  вытрясти
вытряхивать  вытряхнуть
вытуривать  вытурить
выть  завыть
вытягивать  вытянуть
вытягиваться  вытянуться
выуживать  выудить
выучивать  выучить
выучиваться  выучиться
выхаживать  выходить3
выхватывать  выхватить
выхлопатывать  выхлопотать
выходить замуж  выйти замуж
выходить1  выйти1
выходить1  выйти2
выходить2  выйти1
выходить2  выйти2
выходить3  выйти3
выходить4  выйти4
выхолащивать  выхолостить
выхолащиваться  выхолоститься
выцарапывать  выцарапать
выцарапываться  выцарапаться
выцветать  выцвести
выцеживать  выцедить
выцеживаться  выцедиться
вычеркивать  вычеркнуть
вычеркиваться  вычеркнуться
вычерпывать  вычерпать
вычерпываться  вычерпаться
вычерчивать  вычертить
вычесывать  вычесать
вычесываться  вычесаться
вычислять  вычислить
вычисляться  вычислиться
вычитать1  вычесть
вычищать  вычистить
вычищаться  вычиститься
вычленять  вычленить
вычленяться  вычлениться
вышибать  вышибить
вышивать  вышить
вышучивать  вышутить
выщипывать  выщипать
выщипываться  выщипаться
выявлять  выявить
выявляться  выявиться
выяснять  выяснить
выясняться  выясниться
вьюжить  завьюжить
вьючить  навьючить
вязать  связать
вязнуть  завязнуть
вязнуть  увязнуть
вякать  вякнуть
вялить  завялить
вялиться  завялиться
вянуть  завянуть
вянуть  увянуть
гавкать  гавкнуть
гадать  разгадать
гадить  нагадить
газировать  нагазировать
газироваться  нагазироваться
газифицировать  прогазифицировать
