PerfectForm,InitialForm
разбомбить,бомбить
оборзеть,борзеть
пробормотать,бормотать
избороздить,бороздить
переборонить,боронить
побороться,бороться
побояться,бояться
забраковать,браковать
выбранить,бранить
выбраниться,браниться
взять,брать
взяться,браться
побрезгать,брезгать
побрезговать,брезговать
забрезжить,брезжить
добрести,брести
забрикетировать,брикетировать
побрить,брить
побриться,бриться
забронировать,бронировать
бросить,бросать
забросать,бросать
броситься,бросаться
сброшюровать,брошюровать
брызнуть,брызгать
забрюзжать,брюзжать
обрюхатить,брюхатить
брякнуть,брякать
брякнуться,брякаться
забряцать,бряцать
разбудить,будить
взбудоражить,будоражить
взбудоражиться,будоражиться
набузить,бузить
отбуксировать,буксировать
забуксовать,буксовать
бултыхнуться,бултыхаться
пробултыхаться,бултыхаться
забункеровать,бункеровать
взбунтовать,бунтовать
пробурить,бурить
забурлить,бурлить
буркнуть,бурчать
пробурчать,бурчать
отбутузить,бутузить
забушевать,бушевать
набуянить,буянить
побывать,бывать
забюрократизировать,бюрократизировать
свалить,валить
повалить,валить
повалиться,валиться
отвальсировать,вальсировать
свалять,валять
изваляться,валяться
сварганить,варганить
отварить,варить
сварить,варить
свариться,вариться
проварьировать,варьировать
изваять,ваять
вбежать,вбегать
вбить,вбивать
вобрать,вбирать
вбросить,вбрасывать
вброситься,вбрасываться
вбухать,вбухивать
вбухнуть,вбухивать
ввалить,вваливать
ввалиться,вваливаться
ввергнуть,ввергать
ввергнуться,ввергаться
ввернуть,ввертывать
вверить,вверять
ввинтить,ввинчивать
ввинтиться,ввинчиваться
ввести,вводить
ввезти,ввозить
ввязать,ввязывать
ввязаться,ввязываться
вогнуть,вгибать
вглядеться,вглядываться
вогнать,вгонять
вдавить,вдавливать
вдавиться,вдавливаться
вдолбить,вдалбливать
вдеть,вдевать
вделать,вделывать
вдернуть,вдергивать
овдоветь,вдоветь
вдолдонить,вдолдонивать
вдохновить,вдохновлять
вдохновиться,вдохновляться
вдуться,вдуваться
вдуматься,вдумываться
вдохнуть,вдыхать
повезти,везти
привезти,везти
повелеть,велеть
провентилировать,вентилировать
провентилироваться,вентилироваться
обвенчать,венчать
увенчать,венчать
обвенчаться,венчаться
завербовать,вербовать
завербоваться,вербоваться
заверещать,верещать
поверить,верить
проверифицировать,верифицировать
уверовать,веровать
сверстать,верстать
сверстаться,верстаться
завертеть,вертеть
завертеться,вертеться
повеселеть,веселеть
развеселить,веселить
повеселиться,веселиться
развеселиться,веселиться
провести,вести
повести,вести
обветшать,ветшать
повесить,вешать
взвесить,вешать
свешать,вешать
вжиться,вживаться
вживить,вживлять
вживиться,вживляться
вжечь,вжигать
взбодрить,взбадривать
взбодриться,взбадриваться
взболтать,взбалтывать
взболтаться,взбалтываться
взбежать,взбегать
взбить,взбивать
взобраться,взбираться
взбрести,взбредать
взбрызнуть,взбрызгивать
взбрызнуться,взбрызгиваться
взбрыкнуть,взбрыкивать
взбухнуть,взбухать
взбучить,взбучивать
взвалить,взваливать
взвеситься,взвешиваться
взвить,взвивать
взвиться,взвиваться
взвинтить,взвинчивать
взвинтиться,взвинчиваться
взвести,взводить
взглянуть,взглядывать
вздеть,вздевать
вздернуть,вздергивать
повздорить,вздорить
вздрогнуть,вздрагивать
вздуть,вздувать
вздуться,вздуваться
вздыбить,вздыбливать
вздыблиться,вздыбливаться
вздохнуть,вздыхать
взломать,взламывать
взломаться,взламываться
взлелеять,взлелеивать
взлететь,взлетать
взлохматить,взлохмачивать
взлохматиться,взлохмачиваться
взмахнуть,взмахивать
взмокнуть,взмокать
взмыть,взмывать
взмылить,взмыливать
взмылиться,взмыливаться
взрыть,взрывать
взорвать,взрывать
взорваться,взрываться
взрыхлить,взрыхлять
взрыхлиться,взрыхляться
взъерепениться,взъерепениваться
взъерошить,взъерошивать
взъерошиться,взъерошиваться
взыскать,взыскивать
взыскаться,взыскиваться
завибрировать,вибрировать
повидать,видать
увидеть,видеть
свидеться,видеться
увидеться,видеться
видоизменить,видоизменять
видоизмениться,видоизменяться
завизжать,визжать
завизировать,визировать
завизироваться,визироваться
вильнуть,вилять
завилять,вилять
обвинить,винить
повиснуть,висеть
навитаминизировать,витаминизировать
провитаминизировать,витаминизировать
провитаминизироваться,витаминизироваться
свить,вить
свиться,виться
вкопать,вкапывать
вкопаться,вкапываться
вкатать,вкатывать
вкатить,вкатывать
вкатиться,вкатываться
вкачать,вкачивать
вкинуть,вкидывать
вложить,вкладывать
вклеить,вклеивать
вклеиться,вклеиваться
вклиниться,вклиниваться
включить,включать
включиться,включаться
вколотить,вколачивать
вкрутить,вкручивать
вкрутиться,вкручиваться
вкусить,вкушать
завладеть,владеть
овладеть,владеть
вломить,вламывать
вломиться,вламываться
влезть,влезать
влепить,влеплять
влететь,влетать
повлечь,влечь
влить,вливать
влиться,вливаться
влипнуть,влипать
повлиять,влиять
влюбить,влюблять
влюбиться,влюбляться
вляпать,вляпывать
вляпаться,вляпываться
вмазать,вмазывать
вмазаться,вмазываться
вменить,вменять
вмерзнуть,вмерзать
вмешать,вмешивать
вмешаться,вмешиваться
вместить,вмещать
вместиться,вмещаться
вмять,вминать
вмяться,вминаться
внедрить,внедрять
внедриться,внедряться
вникнуть,вникать
внять,внимать
внести,вносить
внестись,вноситься
внушить,внушать
внушиться,внушаться
вовлечь,вовлекать
вовлечься,вовлекаться
водворить,водворять
водвориться,водворяться
водрузить,водружать
повоевать,воевать
возбудить,возбуждать
возбудиться,возбуждаться
возвестить,возвещать
возвеститься,возвещаться
возвести,возводить
вернуть,возвращать
возвратить,возвращать
вернуться,возвращаться
возвратиться,возвращаться
возвысить,возвышать
возвыситься,возвышаться
возглавить,возглавлять
возгореть,возгорать
возгореться,возгораться
воздать,воздавать
воздаться,воздаваться
воздвигнуть,воздвигать
воздеть,воздевать
возделать,возделывать
воздержать,воздерживать
воздержаться,воздерживаться
возложить,возлагать
возместить,возмещать
возместиться,возмещаться
возмутить,возмущать
возмутиться,возмущаться
вознаградить,вознаграждать
возникнуть,возникать
вознести,возносить
вознестись,возноситься
возобновить,возобновлять
возобновиться,возобновляться
возразить,возражать
возрасти,возрастать
возродить,возрождать
возродиться,возрождаться
взволновать,волновать
взволноваться,волноваться
заволноваться,волноваться
поволочить,волочить
поволочиться,волочиться
поволочь,волочь
уволочь,волочь
вонзить,вонзать
вонзиться,вонзаться
навонять,вонять
вообразить,воображать
воодушевить,воодушевлять
воодушевиться,воодушевляться
вооружить,вооружать
вооружиться,вооружаться
завопить,вопить
воплотить,воплощать
воплотиться,воплощаться
вопросить,вопрошать
своровать,воровать
заворожить,ворожить
поворочать,ворочать
поворочаться,ворочаться
разворошить,ворошить
проворчать,ворчать
воскликнуть,восклицать
воскреснуть,воскресать
воскресить,воскрешать
воспалить,воспалять
воспалиться,воспаляться
воспарить,воспарять
воспеть,воспевать
перевоспитаться,воспитаться
воспитать,воспитывать
воспитаться,воспитываться
перевоспитываться,воспитываться
воспламенить,воспламенять
воспламениться,воспламеняться
восполнить,восполнять
воспретить,воспрещать
воспринять,воспринимать
воспроизвести,воспроизводить
воспроизвестись,воспроизводиться
воссоединить,воссоединять
воссоединиться,воссоединяться
воссоздать,воссоздавать
воссоздаться,воссоздаваться
восстать,восставать
восставить,восставлять
восстановить,восстанавливать
восстановиться,восстанавливаться
восхитить,восхищать
восхититься,восхищаться
взойти,восходить
воцерковиться,воцерковляться
навощить,вощить
навощиться,вощиться
впасть,впадать
впаять,впаивать
впаяться,впаиваться
впарить,впаривать
впечь,впекать
впечься,впекаться
вперить,вперивать
впериться,впериваться
впечатлить,впечатлять
впечатать,впечатывать
впиться,впиваться
вписать,вписывать
вписаться,вписываться
впитать,впитывать
впитаться,впитываться
впихать,впихивать
впихнуть,впихивать
впихаться,впихиваться
впихнуться,впихиваться
вплавить,вплавлять
вплести,вплетать
вплестись,вплетаться
вплыть,вплывать
вползти,вползать
вправить,вправлять
впрыгнуть,впрыгивать
впрыснуть,впрыскивать
впрыснуться,впрыскиваться
впрячь,впрягать
впрячься,впрягаться
впустить,впускать
впутать,впутывать
впутаться,впутываться
завраждовать,враждовать
вразумить,вразумлять
вразумиться,вразумляться
врасти,врастать
наврать,врать
соврать,врать
завращать,вращать
завращаться,вращаться
навредить,вредить
врезать,врезать
врубиться,врубаться
вручить,вручать
врыть,врывать
всадить,всаживать
всосать,всасывать
всосаться,всасываться
вселить,вселять
вселиться,вселяться
вскочить,вскакивать
вскопать,вскапывать
вскормить,вскармливать
вскинуть,вскидывать
вскинуться,вскидываться
вскипеть,вскипать
всклокочить,всклокочивать
всклокочиться,всклокочиваться
вскрикнуть,вскрикивать
вскрыть,вскрывать
вскрыться,вскрываться
вслушаться,вслушиваться
всмотреться,всматриваться
сунуть,всовывать
вспорхнуть,вспархивать
вспороть,вспарывать
вспахать,вспахивать
вспенить,вспенивать
вспениться,вспениваться
всплеснуть,всплескивать
всплыть,всплывать
вспомнить,вспоминать
вспомниться,вспоминаться
вспухнуть,вспухать
вспучить,вспучивать
вспучиться,вспучиваться
вспыхнуть,вспыхивать
встать,вставать
вставить,вставлять
встроить,встраивать
встроиться,встраиваться
встревожить,встревоживать
встревожиться,встревоживаться
встрепать,встрепывать
встретить,встречать
повстречать,встречать
встретиться,встречаться
встряхнуть,встряхивать
встряхнуться,встряхиваться
вступить,вступать
вступиться,вступаться
всучить,всучивать
всхрапнуть,всхрапывать
всыпать,всыпать
втолкнуть,вталкивать
втолкнуться,вталкиваться
втоптать,втаптывать
втащить,втаскивать
втащиться,втаскиваться
втемяшить,втемяшивать
втемяшиться,втемяшиваться
втереть,втирать
втереться,втираться
втиснуть,втискивать
втиснуться,втискиваться
втолковать,втолковывать
втолковаться,втолковываться
вторгнуться,вторгаться
втравить,втравливать
втравиться,втравливаться
воткнуть,втыкать
воткнуться,втыкаться
втюрить,втюривать
втюриться,втюриваться
втянуть,втягивать
втянуться,втягиваться
завуалировать,вуалировать
завуалироваться,вуалироваться
войти,входить
вцедить,вцеживать
вцепить,вцеплять
вцепиться,вцепляться
вчинить,вчинять
вчитаться,вчитываться
вшить,вшивать
вшиться,вшиваться
овшиветь,вшиветь
въесться,въедаться
въехать,въезжать
выболтать,выбалтывать
выбежать,выбегать
выбелить,выбеливать
выбелиться,выбеливаться
выбить,выбивать
выбиться,выбиваться
выбрать,выбирать
выбраться,выбираться
выбросить,выбрасывать
выбыть,выбывать
вывалить,вываливать
вывалиться,вываливаться
выварить,вываривать
вывариться,вывариваться
выведать,выведывать
вывернуть,вывертывать
вывернуться,вывертываться
выверить,выверять
вывериться,выверяться
выветрить,выветривать
выветриться,выветриваться
вывесить,вывешивать
вывинтить,вывинчивать
вывинтиться,вывинчиваться
вывихнуть,вывихивать
вывихнуться,вывихиваться
вывести,выводить
вывестись,выводиться
вывезти,вывозить
выволочь,выволакивать
выворотить,выворачивать
вывязать,вывязывать
выгадать,выгадывать
выгнуть,выгибать
выгнуться,выгибаться
выгладить,выглаживать
выгладиться,выглаживаться
выглянуть,выглядеть
выглядеть,выглядывать
выговорить,выговаривать
выговориться,выговариваться
выгнать,выгонять
выгородить,выгораживать
выгородиться,выгораживаться
выгореть,выгорать
выгрести,выгребать
выгрузить,выгружать
выгрузиться,выгружаться
выгрызть,выгрызать
выгулять,выгуливать
выгуляться,выгуливаться
выдать,выдавать
выдавить,выдавливать
выдавиться,выдавливаться
выдоить,выдаивать
выдоиться,выдаиваться
выдолбить,выдалбливать
выдолбиться,выдалбливаться
выдвинуть,выдвигать
выдвинуться,выдвигаться
выдворить,выдворять
выделать,выделывать
выделить,выделять
выделиться,выделяться
выдернуть,выдергивать
выдернуться,выдергиваться
выдержать,выдерживать
выдрать,выдирать
выдраться,выдираться
выдраить,выдраивать
выдуть,выдувать
выдумать,выдумывать
выдохнуть,выдыхать
выдохнуться,выдыхаться
выесть,выедать
выехать,выезжать
выжить,выживать
выжечь,выжигать
выждать,выжидать
выжать,выжимать
выжрать,выжирать
вызволить,вызволять
вызволиться,вызволяться
выздороветь,выздоравливать
вызреть,вызревать
вызвать,вызывать
вызваться,вызываться
выиграть,выигрывать
выискать,выискивать
выискаться,выискиваться
выказать,выказывать
выказаться,выказываться
выкалить,выкаливать
выкалиться,выкаливаться
выколоть,выкалывать
выкопать,выкапывать
выкарабкаться,выкарабкиваться
выкормить,выкармливать
выкормиться,выкармливаться
выкатить,выкатывать
выкатиться,выкатываться
выкачать,выкачивать
выкачаться,выкачиваться
выкосить,выкашивать
выкинуть,выкидывать
выкинуться,выкидываться
выкипеть,выкипать
выложить,выкладывать
выложиться,выкладываться
выклевать,выклевывать
выключить,выключать
выключиться,выключаться
выклянчить,выклянчивать
выковать,выковывать
выковырить,выковыривать
выковырять,выковыривать
выковыряться,выковыриваться
выколотить,выколачивать
выкорчевать,выкорчевывать
выкорчеваться,выкорчевываться
выкрасть,выкрадывать
выкроить,выкраивать
выкроиться,выкраиваться
выкрикнуть,выкрикивать
выкрутить,выкручивать
выкрутиться,выкручиваться
выкупить,выкупать
выкурить,выкуривать
выкусить,выкусывать
выловить,вылавливать
выломать,выламывать
выломаться,выламываться
выломиться,выламываться
вылощить,вылащивать
вылощиться,вылащиваться
вылежать,вылеживать
вылежаться,вылеживаться
вылезти,вылезать
вылепить,вылеплять
вылететь,вылетать
вылечить,вылечивать
вылечиться,вылечиваться
вылить,выливать
вылиться,выливаться
вылизать,вылизывать
вылупить,вылуплять
вылупиться,вылупляться
вымазать,вымазывать
вымазаться,вымазываться
вымолить,вымаливать
выманить,выманивать
выманиться,выманиваться
вымарать,вымарывать
вымотать,выматывать
вымотаться,выматываться
вымахать,вымахивать
вымочить,вымачивать
вымочиться,вымачиваться
выменять,выменивать
вымерзнуть,вымерзать
вымерить,вымерять
вымериться,вымеряться
вымесить,вымешивать
вымешать,вымешивать
вымешаться,вымешиваться
выместить,вымещать
выместиться,вымещаться
вымереть,вымирать
вымокнуть,вымокать
выморозить,вымораживать
выморозиться,вымораживаться
вымучить,вымучивать
вымучиться,вымучиваться
вымыть,вымывать
вымыться,вымываться
вымылить,вымыливать
вымыслить,вымышлять
выносить,вынашивать
выноситься,вынашиваться
вынуть,вынимать
вынести,выносить
вынудить,вынуждать
вынудиться,вынуждаться
вынырнуть,выныривать
выпасть,выпадать
выпаять,выпаивать
выпаяться,выпаиваться
выпалить,выпаливать
выполоть,выпалывать
выпарить,выпаривать
выпариться,выпариваться
выпечь,выпекать
выпечься,выпекаться
выпендриться,выпендриваться
выпестовать,выпестовывать
выпестоваться,выпестовываться
выпить,выпивать
выпилить,выпиливать
выписать,выписывать
выписаться,выписываться
выпихать,выпихивать
выпихнуть,выпихивать
выплавить,выплавлять
выплавиться,выплавляться
выплатить,выплачивать
выплеснуть,выплескивать
выплеснуться,выплескиваться
выплести,выплетать
выплыть,выплывать
выползти,выползать
выполнить,выполнять
выполниться,выполняться
выправить,выправлять
выправиться,выправляться
выпросить,выпрашивать
выпроситься,выпрашиваться
выпроводить,выпроваживать
выпроводиться,выпроваживаться
выпрыгнуть,выпрыгивать
выпрячь,выпрягать
выпрячься,выпрягаться
выпрямить,выпрямлять
выпрямиться,выпрямляться
выпустить,выпускать
выпуститься,выпускаться
выпутать,выпутывать
выпутаться,выпутываться
выпучить,выпучивать
выпучиться,выпучиваться
выпытать,выпытывать
выпятить,выпячивать
выпятиться,выпячиваться
выработать,вырабатывать
выработаться,вырабатываться
выровнять,выравнивать
выровняться,выравниваться
выразить,выражать
выразиться,выражаться
вырасти,вырастать
вырастить,выращивать
вырезать,вырезать
вырисоваться,вырисовываться
вырубить,вырубать
вырубиться,вырубаться
вырулить,выруливать
выручить,выручать
выручиться,выручаться
вырвать,вырывать
вырваться,вырываться
высадить,высаживать
высадиться,высаживаться
высосать,высасывать
высверлить,высверливать
высверлиться,высверливаться
высветлить,высветлять
высветлиться,высветляться
высвободить,высвобождать
высвободиться,высвобождаться
высечь,высекать
выселить,выселять
выселиться,выселяться
высидеть,высиживать
выскоблить,выскабливать
выскоблиться,выскабливаться
высказать,высказывать
высказаться,высказываться
выскочить,выскакивать
выследить,выслеживать
выслужить,выслуживать
выслужиться,выслуживаться
выслушать,выслушивать
высмотреть,высматривать
высмеять,высмеивать
выспросить,выспрашивать
выставить,выставлять
выставиться,выставляться
выстоять,выстаивать
выстелить,выстилать
выстлать,выстилать
выстелиться,выстилаться
выстирать,выстирывать
выстираться,выстирываться
выстроиться,выстраиваться
выстричь,выстригать
выстругать,выстругивать
выстудить,выстужать
выстудиться,выстуживаться
выступить,выступать
высудить,высуживать
высушить,высушивать
высушиться,высушиваться
выслать,высылать
высыпать,высыпать
высыпаться,высыпаться
высохнуть,высыхать
вытолкать,выталкивать
вытолкнуть,выталкивать
вытоптать,вытаптывать
вытащить,вытаскивать
выточить,вытачивать
вытворить,вытворять
вытечь,вытекать
вытеснить,вытеснять
вытесать,вытесывать
вытереть,вытирать
вытереться,вытираться
выторговать,выторговывать
вытрясти,вытрясать
вытрястись,вытрясаться
вытряхнуть,вытряхать
вытурить,вытуривать
завыть,выть
вытянуть,вытягивать
вытянуться,вытягиваться
выудить,выуживать
выучить,выучивать
выучиться,выучиваться
выходить,выхаживать
выхватить,выхватывать
выхлопотать,выхлопатывать
выйти,выходить
выхолостить,выхолащивать
выхолоститься,выхолащиваться
выцарапать,выцарапывать
выцарапаться,выцарапываться
выцвести,выцветать
выцедить,выцеживать
выцедиться,выцеживаться
вычеркнуть,вычеркивать
вычеркнуться,вычеркиваться
вычерпать,вычерпывать
вычерпаться,вычерпываться
вычертить,вычерчивать
вычесать,вычесывать
вычесаться,вычесываться
вычислить,вычислять
вычислиться,вычисляться
вычесть,вычитать
вычистить,вычищать
вычиститься,вычищаться
вычленить,вычленять
вычлениться,вычленяться
вышибить,вышибать
вышить,вышивать
вышутить,вышучивать
выщипать,выщипывать
выщипаться,выщипываться
выявить,выявлять
выявиться,выявляться
выяснить,выяснять
выясниться,выясняться
завьюжить,вьюжить
навьючить,вьючить
связать,вязать
завязнуть,вязнуть
увязнуть,вязнуть
вякнуть,вякать
завялить,вялить
завялиться,вялиться
завянуть,вянуть
увянуть,вянуть
гавкнуть,гавкать
разгадать,гадать
нагадить,гадить
нагазировать,газировать
нагазироваться,газироваться
прогазифицировать,газифицировать
прогарантировать,гарантировать
гаркнуть,гаркать
сгармонизировать,гармонизировать
сгармонировать,гармонировать
погасить,гасить
угасить,гасить
погаснуть,гаснуть
прогастролировать,гастролировать
загатить,гатить
загваздать,гваздать
загваздаться,гваздаться
сгенерировать,генерировать
загерметизировать,герметизировать
загерметизироваться,герметизироваться
погибнуть,гибнуть
гикнуть,гикать
загипнотизировать,гипнотизировать
загипнотизироваться,гипнотизироваться
возглавенствовать,главенствовать
погладить,гладить
нагладиться,гладиться
погладиться,гладиться
пригладиться,гладиться
прогладиться,гладиться
разгладиться,гладиться
сгладиться,гладиться
отглазировать,глазировать
отглазуровать,глазуровать
отглазуроваться,глазуроваться
проглиссировать,глиссировать
обглодать,глодать
глотнуть,глотать
заглотать,глотать
проглотить,глотать
оглохнуть,глохнуть
заглохнуть,глохнуть
поглумиться,глумиться
поглупеть,глупеть
сглупить,глупить
заглушить,глушить
заглючить,глючить
изгнать,гнать
прогнать,гнать
погнаться,гнаться
разгневать,гневать
прогневаться,гневаться
разгневаться,гневаться
прогневить,гневить
разгневить,гневить
разгневиться,гневиться
угнездиться,гнездиться
угнести,гнести
сгнить,гнить
загнобить,гнобить
сгнобить,гнобить
сгноить,гноить
нагноиться,гноиться
загнусавить,гнусавить
согнуть,гнуть
согнуться,гнуться
поговорить,говорить
сказать,говорить
загоготать,гоготать
погодить,годить
пригодиться,годиться
сгодиться,годиться
поголодать,голодать
заголосить,голосить
проголосовать,голосовать
заголубеть,голубеть
поголубеть,голубеть
прогорбатиться,горбатиться
сгорбить,горбить
сгорбиться,горбиться
возгордиться,гордиться
загордиться,гордиться
погоревать,горевать
сгореть,гореть
прогоркнуть,горкнуть
нагородить,городить
загорчить,горчить
разгорячить,горячить
разгорячиться,горячиться
загостировать,гостировать
загостить,гостить
погостить,гостить
подготовить,готовить
приготовить,готовить
подготовиться,готовиться
приготовиться,готовиться
отгофрировать,гофрировать
ограбить,грабить
выгравировать,гравировать
отградуировать,градуировать
проградуировать,градуировать
проградуироваться,градуироваться
огранить,гранить
заграссировать,грассировать
разграфить,графить
