perfForm,infForm
пробурчать,бурчать
отбутузить,бутузить
забушевать,бушевать
набуянить,буянить
побывать,бывать
забюрократизировать,бюрократизировать
свалить,валить
повалить,валить
отвальсировать,вальсировать
свалять,валять
извалять,валять
сварганить,варганить
отварить,варить
сварить,варить
проварьировать,варьировать
изваять,ваять
вбежать,вбегать
вбить,вбивать
вобрать,вбирать
вбросить,вбрасывать
вбухать,вбухивать
вбухнуть,вбухивать
ввалить,вваливать
ввергнуть,ввергать
ввернуть,ввертывать
вверить,вверять
ввинтить,ввинчивать
ввести,вводить
ввезти,ввозить
ввязать,ввязывать
вогнуть,вгибать
вглядеть,вглядывать
вогнать,вгонять
вдавить,вдавливать
вдолбить,вдалбливать
вдеть,вдевать
вделать,вделывать
вдернуть,вдергивать
овдоветь,вдоветь
вдолдонить,вдолдонивать
вдохновить,вдохновлять
вдуть,вдувать
вдумать,вдумывать
вдохнуть,вдыхать
повезти,везти
привезти,везти
повелеть,велеть
провентилировать,вентилировать
обвенчать,венчать
увенчать,венчать
завербовать,вербовать
заверещать,верещать
поверить,верить
проверифицировать,верифицировать
уверовать,веровать
сверстать,верстать
завертеть,вертеть
повеселеть,веселеть
развеселить,веселить
повеселить,веселить
провести,вести
повести,вести
обветшать,ветшать
повесить,вешать
взвесить,вешать
свешать,вешать
вжить,вживать
вживить,вживлять
вжечь,вжигать
взбодрить,взбадривать
взболтать,взбалтывать
взбежать,взбегать
взбить,взбивать
взобрать,взбирать
взбрести,взбредать
взбрызнуть,взбрызгивать
взбрыкнуть,взбрыкивать
взбухнуть,взбухать
взбучить,взбучивать
взвалить,взваливать
взвить,взвивать
взвинтить,взвинчивать
взвести,взводить
взглянуть,взглядывать
вздеть,вздевать
вздернуть,вздергивать
повздорить,вздорить
вздрогнуть,вздрагивать
вздуть,вздувать
вздыбить,вздыбливать
вздыблить,вздыбливать
вздохнуть,вздыхать
взломать,взламывать
взлелеять,взлелеивать
взлететь,взлетать
взлохматить,взлохмачивать
взмахнуть,взмахивать
взмокнуть,взмокать
взмыть,взмывать
взмылить,взмыливать
взрыть,взрывать
взорвать,взрывать
взрыхлить,взрыхлять
взъерепенить,взъерепенивать
взъерошить,взъерошивать
взыскать,взыскивать
завибрировать,вибрировать
повидать,видать
увидеть,видеть
свидеть,видеть
видоизменить,видоизменять
завизжать,визжать
завизировать,визировать
вильнуть,вилять
завилять,вилять
обвинить,винить
повиснуть,висеть
навитаминизировать,витаминизировать
провитаминизировать,витаминизировать
свить,вить
вкопать,вкапывать
вкатать,вкатывать
вкатить,вкатывать
вкачать,вкачивать
вкинуть,вкидывать
вложить,вкладывать
вклеить,вклеивать
вклинить,вклинивать
включить,включать
вколотить,вколачивать
вкрутить,вкручивать
вкусить,вкушать
завладеть,владеть
овладеть,владеть
вломить,вламывать
влезть,влезать
влепить,влеплять
влететь,влетать
повлечь,влечь
влить,вливать
влипнуть,влипать
повлиять,влиять
влюбить,влюблять
вляпать,вляпывать
вмазать,вмазывать
вменить,вменять
вмерзнуть,вмерзать
вмешать,вмешивать
вместить,вмещать
вмять,вминать
внедрить,внедрять
вникнуть,вникать
внять,внимать
внести,вносить
внушить,внушать
вовлечь,вовлекать
водворить,водворять
водрузить,водружать
повоевать,воевать
возбудить,возбуждать
возвестить,возвещать
возвести,возводить
вернуть,возвращать
возвратить,возвращать
возвысить,возвышать
возглавить,возглавлять
возгореть,возгорать
воздать,воздавать
воздвигнуть,воздвигать
воздеть,воздевать
возделать,возделывать
воздержать,воздерживать
возложить,возлагать
возместить,возмещать
возмутить,возмущать
вознаградить,вознаграждать
возникнуть,возникать
вознести,возносить
возобновить,возобновлять
возразить,возражать
возрасти,возрастать
возродить,возрождать
взволновать,волновать
заволновать,волновать
поволочить,волочить
поволочь,волочь
уволочь,волочь
вонзить,вонзать
навонять,вонять
вообразить,воображать
воодушевить,воодушевлять
вооружить,вооружать
завопить,вопить
воплотить,воплощать
вопросить,вопрошать
своровать,воровать
заворожить,ворожить
поворочать,ворочать
разворошить,ворошить
проворчать,ворчать
воскликнуть,восклицать
воскреснуть,воскресать
воскресить,воскрешать
воспалить,воспалять
воспарить,воспарять
воспеть,воспевать
перевоспитать,воспитать
воспитать,воспитывать
перевоспитывать,воспитывать
воспламенить,воспламенять
восполнить,восполнять
воспретить,воспрещать
воспринять,воспринимать
воспроизвести,воспроизводить
воссоединить,воссоединять
воссоздать,воссоздавать
восстать,восставать
восставить,восставлять
восстановить,восстанавливать
восхитить,восхищать
взойти,восходить
воцерковить,воцерковлять
навощить,вощить
впасть,впадать
впаять,впаивать
впарить,впаривать
впечь,впекать
вперить,вперивать
впечатлить,впечатлять
впечатать,впечатывать
впить,впивать
вписать,вписывать
впитать,впитывать
впихать,впихивать
впихнуть,впихивать
вплавить,вплавлять
вплести,вплетать
вплыть,вплывать
вползти,вползать
вправить,вправлять
впрыгнуть,впрыгивать
впрыснуть,впрыскивать
впрячь,впрягать
впустить,впускать
впутать,впутывать
завраждовать,враждовать
вразумить,вразумлять
врасти,врастать
наврать,врать
соврать,врать
завращать,вращать
навредить,вредить
врезать,врезать
врубить,врубать
вручить,вручать
врыть,врывать
всадить,всаживать
всосать,всасывать
вселить,вселять
вскочить,вскакивать
вскопать,вскапывать
вскормить,вскармливать
вскинуть,вскидывать
вскипеть,вскипать
всклокочить,всклокочивать
вскрикнуть,вскрикивать
вскрыть,вскрывать
вслушать,вслушивать
всмотреть,всматривать
сунуть,всовывать
вспорхнуть,вспархивать
вспороть,вспарывать
вспахать,вспахивать
вспенить,вспенивать
всплеснуть,всплескивать
всплыть,всплывать
вспомнить,вспоминать
вспухнуть,вспухать
вспучить,вспучивать
вспыхнуть,вспыхивать
встать,вставать
вставить,вставлять
встроить,встраивать
встревожить,встревоживать
встрепать,встрепывать
встретить,встречать
повстречать,встречать
встряхнуть,встряхивать
вступить,вступать
всучить,всучивать
всхрапнуть,всхрапывать
всыпать,всыпать
втолкнуть,вталкивать
втоптать,втаптывать
втащить,втаскивать
втемяшить,втемяшивать
втереть,втирать
втиснуть,втискивать
втолковать,втолковывать
вторгнуть,вторгать
втравить,втравливать
воткнуть,втыкать
втюрить,втюривать
втянуть,втягивать
завуалировать,вуалировать
войти,входить
вцедить,вцеживать
вцепить,вцеплять
вчинить,вчинять
вчитать,вчитывать
вшить,вшивать
овшиветь,вшиветь
въесть,въедать
въехать,въезжать
выболтать,выбалтывать
выбежать,выбегать
выбелить,выбеливать
выбить,выбивать
выбрать,выбирать
выбросить,выбрасывать
выбыть,выбывать
вывалить,вываливать
выварить,вываривать
выведать,выведывать
вывернуть,вывертывать
выверить,выверять
выветрить,выветривать
вывесить,вывешивать
вывинтить,вывинчивать
вывихнуть,вывихивать
вывести,выводить
вывезти,вывозить
выволочь,выволакивать
выворотить,выворачивать
вывязать,вывязывать
выгадать,выгадывать
выгнуть,выгибать
выгладить,выглаживать
выглянуть,выглядеть
выглядеть,выглядывать
выговорить,выговаривать
выгнать,выгонять
выгородить,выгораживать
выгореть,выгорать
выгрести,выгребать
выгрузить,выгружать
выгрызть,выгрызать
выгулять,выгуливать
выдать,выдавать
выдавить,выдавливать
выдоить,выдаивать
выдолбить,выдалбливать
выдвинуть,выдвигать
выдворить,выдворять
выделать,выделывать
выделить,выделять
выдернуть,выдергивать
выдержать,выдерживать
выдрать,выдирать
выдраить,выдраивать
выдуть,выдувать
выдумать,выдумывать
выдохнуть,выдыхать
выесть,выедать
выехать,выезжать
выжить,выживать
выжечь,выжигать
выждать,выжидать
выжать,выжимать
выжрать,выжирать
вызволить,вызволять
выздороветь,выздоравливать
вызреть,вызревать
вызвать,вызывать
выиграть,выигрывать
выискать,выискивать
выказать,выказывать
выкалить,выкаливать
выколоть,выкалывать
выкопать,выкапывать
выкарабкать,выкарабкивать
выкормить,выкармливать
выкатить,выкатывать
выкачать,выкачивать
выкосить,выкашивать
выкинуть,выкидывать
выкипеть,выкипать
выложить,выкладывать
выклевать,выклевывать
выключить,выключать
выклянчить,выклянчивать
выковать,выковывать
выковырить,выковыривать
выковырять,выковыривать
выколотить,выколачивать
выкорчевать,выкорчевывать
выкрасть,выкрадывать
выкроить,выкраивать
выкрикнуть,выкрикивать
выкрутить,выкручивать
выкупить,выкупать
выкурить,выкуривать
выкусить,выкусывать
выловить,вылавливать
выломать,выламывать
выломить,выламывать
вылощить,вылащивать
вылежать,вылеживать
вылезти,вылезать
вылепить,вылеплять
вылететь,вылетать
вылечить,вылечивать
вылить,выливать
вылизать,вылизывать
вылупить,вылуплять
вымазать,вымазывать
вымолить,вымаливать
выманить,выманивать
вымарать,вымарывать
вымотать,выматывать
вымахать,вымахивать
вымочить,вымачивать
выменять,выменивать
вымерзнуть,вымерзать
вымерить,вымерять
вымесить,вымешивать
вымешать,вымешивать
выместить,вымещать
вымереть,вымирать
вымокнуть,вымокать
выморозить,вымораживать
вымучить,вымучивать
вымыть,вымывать
вымылить,вымыливать
вымыслить,вымышлять
выносить,вынашивать
вынуть,вынимать
вынести,выносить
вынудить,вынуждать
вынырнуть,выныривать
выпасть,выпадать
выпаять,выпаивать
выпалить,выпаливать
выполоть,выпалывать
выпарить,выпаривать
выпечь,выпекать
выпендрить,выпендривать
выпестовать,выпестовывать
выпить,выпивать
выпилить,выпиливать
выписать,выписывать
выпихать,выпихивать
выпихнуть,выпихивать
выплавить,выплавлять
выплатить,выплачивать
выплеснуть,выплескивать
выплести,выплетать
выплыть,выплывать
выползти,выползать
выполнить,выполнять
выправить,выправлять
выпросить,выпрашивать
выпроводить,выпроваживать
выпрыгнуть,выпрыгивать
выпрячь,выпрягать
выпрямить,выпрямлять
выпустить,выпускать
выпутать,выпутывать
выпучить,выпучивать
выпытать,выпытывать
выпятить,выпячивать
выработать,вырабатывать
выровнять,выравнивать
выразить,выражать
вырасти,вырастать
вырастить,выращивать
вырезать,вырезать
вырисовать,вырисовывать
вырубить,вырубать
вырулить,выруливать
выручить,выручать
вырвать,вырывать
высадить,высаживать
высосать,высасывать
высверлить,высверливать
высветлить,высветлять
высвободить,высвобождать
высечь,высекать
выселить,выселять
высидеть,высиживать
выскоблить,выскабливать
высказать,высказывать
выскочить,выскакивать
выследить,выслеживать
выслужить,выслуживать
выслушать,выслушивать
высмотреть,высматривать
высмеять,высмеивать
выспросить,выспрашивать
выставить,выставлять
выстоять,выстаивать
выстелить,выстилать
выстлать,выстилать
выстирать,выстирывать
выстроить,выстраивать
выстричь,выстригать
выстругать,выстругивать
выстудить,выстужать
выступить,выступать
высудить,высуживать
высушить,высушивать
выслать,высылать
высыпать,высыпать
высохнуть,высыхать
вытолкать,выталкивать
вытолкнуть,выталкивать
вытоптать,вытаптывать
вытащить,вытаскивать
выточить,вытачивать
вытворить,вытворять
вытечь,вытекать
вытеснить,вытеснять
вытесать,вытесывать
вытереть,вытирать
выторговать,выторговывать
вытрясти,вытрясать
вытряхнуть,вытряхать
вытурить,вытуривать
завыть,выть
вытянуть,вытягивать
выудить,выуживать
выучить,выучивать
выходить,выхаживать
выхватить,выхватывать
выхлопотать,выхлопатывать
выйти,выходить
выхолостить,выхолащивать
выцарапать,выцарапывать
выцвести,выцветать
выцедить,выцеживать
вычеркнуть,вычеркивать
вычерпать,вычерпывать
вычертить,вычерчивать
вычесать,вычесывать
вычислить,вычислять
вычесть,вычитать
вычистить,вычищать
вычленить,вычленять
вышибить,вышибать
вышить,вышивать
вышутить,вышучивать
выщипать,выщипывать
выявить,выявлять
выяснить,выяснять
завьюжить,вьюжить
навьючить,вьючить
связать,вязать
завязнуть,вязнуть
увязнуть,вязнуть
вякнуть,вякать
завялить,вялить
завянуть,вянуть
увянуть,вянуть
гавкнуть,гавкать
разгадать,гадать
нагадить,гадить
нагазировать,газировать
прогазифицировать,газифицировать
прогарантировать,гарантировать
гаркнуть,гаркать
сгармонизировать,гармонизировать
сгармонировать,гармонировать
погасить,гасить
угасить,гасить
погаснуть,гаснуть
прогастролировать,гастролировать
загатить,гатить
загваздать,гваздать
сгенерировать,генерировать
загерметизировать,герметизировать
погибнуть,гибнуть
гикнуть,гикать
загипнотизировать,гипнотизировать
возглавенствовать,главенствовать
погладить,гладить
нагладить,гладить
пригладить,гладить
прогладить,гладить
разгладить,гладить
сгладить,гладить
отглазировать,глазировать
отглазуровать,глазуровать
проглиссировать,глиссировать
обглодать,глодать
глотнуть,глотать
заглотать,глотать
проглотить,глотать
оглохнуть,глохнуть
заглохнуть,глохнуть
поглумить,глумить
поглупеть,глупеть
сглупить,глупить
заглушить,глушить
заглючить,глючить
изгнать,гнать
прогнать,гнать
погнать,гнать
разгневать,гневать
прогневать,гневать
прогневить,гневить
разгневить,гневить
угнездить,гнездить
угнести,гнести
сгнить,гнить
загнобить,гнобить
сгнобить,гнобить
сгноить,гноить
нагноить,гноить
загнусавить,гнусавить
согнуть,гнуть
поговорить,говорить
сказать,говорить
загоготать,гоготать
погодить,годить
пригодить,годить
сгодить,годить
поголодать,голодать
заголосить,голосить
проголосовать,голосовать
заголубеть,голубеть
поголубеть,голубеть
прогорбатить,горбатить
сгорбить,горбить
возгордить,гордить
загордить,гордить
погоревать,горевать
сгореть,гореть
прогоркнуть,горкнуть
нагородить,городить
загорчить,горчить
разгорячить,горячить
загостировать,гостировать
загостить,гостить
погостить,гостить
подготовить,готовить
приготовить,готовить
отгофрировать,гофрировать
ограбить,грабить
выгравировать,гравировать
отградуировать,градуировать
проградуировать,градуировать
огранить,гранить
заграссировать,грассировать
разграфить,графить
пригрезить,грезить
прогреметь,греметь
сгрести,грести
обогреть,греть
согреть,греть
нагреть,греть
погреть,греть
прогреть,греть
согрешить,грешить
загримировать,гримировать
загробить,гробить
погрозить,грозить
пригрозить,грозить
разгромить,громить
нагромоздить,громоздить
громыхнуть,громыхать
грохнуть,грохать
загрохотать,грохотать
огрубеть,грубеть
нагрубить,грубить
погрузить,грузить
нагрузить,грузить
огрузнуть,грузнуть
загрунтовать,грунтовать
сгруппировать,группировать
загрустить,грустить
погрустить,грустить
разгрызть,грызть
сгрызть,грызть
перегрызть,грызть
загрязнить,грязнить
нагрянуть,грянуть
погубить,губить
погуглить,гуглить
загудеть,гудеть
прогудеть,гудеть
загудронировать,гудронировать
гукнуть,гукать
загулить,гулить
погулять,гулять
загундеть,гундеть
загундосить,гундосить
загустеть,густеть
дать,давать
знать,давать
понять,давать
задавить,давить
надавить,давить
раздавить,давить
сдавить,давить
подавить,давить
подарить,дарить
продатировать,датировать
двинуть,двигать
передвигать,двигать
продебатировать,дебатировать
деть,девать
продегустировать,дегустировать
продежурить,дежурить
продезинфицировать,дезинфицировать
продезинформировать,дезинформировать
дезорганизовать,дезорганизовывать
подействовать,действовать
продекламировать,декламировать
задекларировать,декларировать
продекларировать,декларировать
задекорировать,декорировать
сделать,делать
отделегировать,делегировать
поделить,делить
разделить,делить
демобилизовать,демобилизовывать
продемонстрировать,демонстрировать
деморализовать,деморализовывать
сдемпфировать,демпфировать
дернуть,дергать
задергать,дергать
задеревенеть,деревенеть
продержать,держать
сдержать,держать
надерзить,дерзить
продетектировать,детектировать
сдетонировать,детонировать
сдеформировать,деформировать
подешеветь,дешеветь
дешифровать,дешифровывать
дзинькнуть,дзинькать
продиагностировать,диагностировать
подивить,дивить
продиктовать,диктовать
продинамизировать,динамизировать
продирижировать,дирижировать
продистиллировать,дистиллировать
продисциплинировать,дисциплинировать
продифференцировать,дифференцировать
продиффундировать,диффундировать
одичать,дичать
продлить,длить
добавить,добавлять
добежать,добегать
добить,добивать
добрать,добирать
добросить,добрасывать
добрить,добривать
добыть,добывать
доварить,доваривать
довершить,довершать
доверить,доверять
довести,доводить
довезти,довозить
удовольствовать,довольствовать
довязать,довязывать
довялить,довяливать
догадать,догадывать
догладить,доглаживать
догнить,догнивать
договорить,договаривать
догнать,догонять
догореть,догорать
догрести,догребать
догрузить,догружать
догулять,догуливать
доделать,доделывать
додумать,додумывать
доесть,доедать
доехать,доезжать
дожарить,дожаривать
подождить,дождить
дожить,доживать
дождать,дожидать
дозволить,дозволять
передозировать,дозировать
дозреть,дозревать
доиграть,доигрывать
подоить,доить
доказать,доказывать
докончить,доканчивать
докопать,докапывать
докосить,докашивать
доложить,докладывать
докрасить,докрашивать
задокументировать,документировать
докурить,докуривать
доломать,доламывать
долбануть,долбать
продолбить,долбить
долететь,долетать
долить,доливать
домарать,домарывать
домаслить,домасливать
домотать,доматывать
домахнуть,домахивать
домешать,домешивать
продоминировать,доминировать
домыть,домывать
донять,донимать
донести,доносить
дополоть,допалывать
допороть,допарывать
допеть,допевать
допечь,допекать
допечатать,допечатывать
допить,допивать
допилить,допиливать
допереть,допирать
дописать,дописывать
доплавить,доплавлять
доплатить,доплачивать
доплести,доплетать
доплыть,доплывать
дополоскать,дополаскивать
доползти,доползать
дополнить,дополнять
допоставить,допоставлять
доправить,доправлять
допросить,допрашивать
допустить,допускать
допытать,допытывать
доработать,дорабатывать
дорасти,дорастать
дорисовать,дорисовывать
подорожать,дорожать
дорулить,доруливать
раздосадовать,досадовать
досадить,досаждать
досолить,досаливать
дослушать,дослушивать
досмотреть,досматривать
доспеть,доспевать
доспросить,доспрашивать
достать,доставать
доставить,доставлять
достоять,достаивать
достеречь,достерегать
достигнуть,достигать
достичь,достигать
достелить,достилать
достирать,достирывать
достроить,достраивать
достричь,достригать
досудить,досуживать
досушить,досушивать
досчитать,досчитывать
дослать,досылать
досыпать,досыпать
досохнуть,досыхать
дотащить,дотаскивать
доточить,дотачивать
дотесать,дотесывать
дотереть,дотирать
дотлеть,дотлевать
дотравить,дотравливать
дотронуть,дотрагивать
дотрясти,дотрясать
дотянуть,дотягивать
доукомплектовать,доукомплектовывать
доучить,доучивать
дохлебать,дохлебывать
подохнуть,дохнуть
дойти,доходить
дочертить,дочерчивать
дочитать,дочитывать
дочистить,дочищать
дошить,дошивать
дояснить,дояснять
подразнить,дразнить
надраить,драить
передраматизировать,драматизировать
драпануть,драпать
задрапировать,драпировать
ободрать,драть
содрать,драть
подрать,драть
разодрать,драть
задребезжать,дребезжать
сдрейфить,дрейфить
задремать,дремать
подремать,дремать
продремать,дремать
выдрессировать,дрессировать
раздробить,дробить
задрогнуть,дрогнуть
задрожать,дрожать
подружить,дружить
дрыгнуть,дрыгать
одрябнуть,дрябнуть
одряхлеть,дряхлеть
отдубасить,дубасить
выдубить,дубить
отдубить,дубить
задублировать,дублировать
продублировать,дублировать
подумать,думать
придумать,думать
одурачить,дурачить
одуреть,дуреть
сдуреть,дуреть
вздурить,дурить
одурманить,дурманить
подурнеть,дурнеть
дунуть,дуть
задуть,дуть
надуть,дуть
задушить,душить
надушить,душить
задымить,дымить
задышать,дышать
подышать,дышать
раздюжеть,дюжеть
съежить,ежить
съездить,ездить
заекать,екать
поелозить,елозить
ерзнуть,ерзать
заерзать,ерзать
поерничать,ерничать
заершить,ершить
поесть,есть
съесть,есть
поехать,ехать
поехидничать,ехидничать
съехидничать,ехидничать
пожадничать,жадничать
пожалеть,жалеть
ужалить,жалить
пожаловать,жаловать
поджарить,жарить
зажарить,жарить
нажарить,жарить
пожарить,жарить
прожарить,жарить
сжарить,жарить
нажать,жать
сжать,жать
жахнуть,жахать
подождать,ждать
пожевать,жевать
прожевать,жевать
разжевать,жевать
сжевать,жевать
пожелать,желать
пожелтеть,желтеть
пожеманить,жеманить
поженить,женить
ожеребить,жеребить
пожертвовать,жертвовать
зажестикулировать,жестикулировать
зажечь,жечь
сжечь,жечь
оживотворить,животворить
ожиреть,жиреть
разжиреть,жиреть
пожмотничать,жмотничать
зажмурить,жмурить
сожрать,жрать
зажужжать,жужжать
прожужжать,жужжать
пожурить,журить
зажурчать,журчать
пожухнуть,жухнуть
заарканить,заарканивать
позабавлять,забавлять
позабавить,забавлять
заболтать,забалтывать
забежать,забегать
забелить,забелять
забить,забивать
забрать,забирать
заболотить,заболачивать
озаботить,заботить
позаботить,заботить
забросить,забрасывать
забрызгать,забрызгивать
забыть,забывать
завалить,заваливать
заварить,заваривать
завощить,заващивать
завернуть,завертывать
завершить,завершать
заверить,заверять
обзавести,завести
завесить,завешивать
завить,завивать
позавидовать,завидовать
завинтить,завинчивать
зависнуть,зависать
завлечь,завлекать
завести,заводить
завоевать,завоевывать
завезти,завозить
заволочь,заволакивать
позавтракать,завтракать
завысить,завышать
завязать,завязывать
загадать,загадывать
загадить,загаживать
загнуть,загибать
загладить,заглаживать
заглубить,заглублять
заглянуть,заглядывать
заглядеть,заглядывать
заговорить,заговаривать
загнать,загонять
